time,open,high,low,close,volume
2021-04-08 06:00:00,407.84,407.99,407.56,407.89,19267
2021-04-08 05:00:00,407.98,408.22,407.69,407.85,12370
2021-04-07 20:00:00,406.98,407.9,406.9,407.64,127600
2021-04-07 19:00:00,407.07,407.17,406.98,407.05,105457
2021-04-07 18:00:00,407.12,407.12,407.01,407.1,83473
2021-04-07 17:00:00,406.57,407.15,406.55,407.11,3706549
2021-04-07 16:00:00,406.43,406.77,405.76,406.58,12959461
2021-04-07 15:00:00,406.39,406.91,406.33,406.4219,6034558
2021-04-07 14:00:00,406.07,406.52,405.88,406.39,3808627
2021-04-07 13:00:00,406.07,406.31,405.45,406.07,8134969
2021-04-07 12:00:00,406.675,406.93,405.61,406.08,6657292
2021-04-07 11:00:00,406.29,406.96,406.05,406.68,7548480
2021-04-07 10:00:00,405.35,406.61,405.35,406.299,5544878
2021-04-07 09:00:00,406.2401,406.3196,405.3,405.31,251385
2021-04-07 08:00:00,406.15,406.27,405.93,405.93,117063
2021-04-07 07:00:00,406.21,406.41,406.13,406.22,23314
2021-04-07 06:00:00,406.37,406.45,405.9,406.08,11855
2021-04-07 05:00:00,406.73,406.73,406.16,406.26,22139
2021-04-06 20:00:00,406.44,406.77,406.39,406.73,198786
2021-04-06 19:00:00,406.28,406.58,406.12,406.49,56541
2021-04-06 18:00:00,406.23,406.35,406.15,406.26,98857
2021-04-06 17:00:00,406.07,406.23,405.89,406.22,5198990
2021-04-06 16:00:00,406.58,406.69,405.4,406.06,17222870
2021-04-06 15:00:00,406.635,406.83,406.29,406.58,6454246
2021-04-06 14:00:00,406.81,406.85,405.87,406.63,5166191
2021-04-06 13:00:00,407.18,407.21,406.65,406.82,6933528
2021-04-06 12:00:00,406.81,407.24,406.51,407.17,4811579
2021-04-06 11:00:00,406.77,407.1999,406.55,406.82,7241987
2021-04-06 10:00:00,405.72,406.89,405.51,406.77,7074372
2021-04-06 09:00:00,405.62,406.24,405.2,405.68,406335
2021-04-06 08:00:00,405.52,405.91,405.47,405.91,166562
2021-04-06 07:00:00,405.63,405.73,405.26,405.47,39733
2021-04-06 06:00:00,405.54,405.7,405.41,405.53,10527
2021-04-06 05:00:00,405.5,406.01,405.0,405.78,28414
2021-04-05 20:00:00,406.9,406.99,406.71,406.74,57771
2021-04-05 19:00:00,406.53,406.98,406.45,406.89,93816
2021-04-05 18:00:00,406.59,406.65,406.36,406.55,131809
2021-04-05 17:00:00,406.29,406.66,406.1,406.59,6223071
2021-04-05 16:00:00,406.1101,406.84,405.75,406.31,20881535
2021-04-05 15:00:00,406.58,406.83,406.1001,406.115,8894597
2021-04-05 14:00:00,406.355,406.61,406.08,406.59,8036363
2021-04-05 13:00:00,406.21,406.94,406.16,406.36,7955375
2021-04-05 12:00:00,405.63,406.5,405.485,406.22,8992960
2021-04-05 11:00:00,404.57,406.03,404.22,405.63,17691217
2021-04-05 10:00:00,403.35,404.63,403.25,404.55,10925729
2021-04-05 09:00:00,402.7404,403.44,401.73,403.33,295137
2021-04-05 08:00:00,402.74,402.99,402.65,402.85,244967
2021-04-05 07:00:00,402.54,402.87,402.52,402.72,19141
2021-04-05 06:00:00,402.39,402.75,402.39,402.67,14498
2021-04-05 05:00:00,402.12,402.56,402.08,402.39,26506
2021-04-01 20:00:00,401.06,401.24,401.03,401.16,55942
2021-04-01 19:00:00,400.97,401.08,400.84,401.05,95256
2021-04-01 18:00:00,401.0,401.19,400.84,400.95,2374668
2021-04-01 17:00:00,400.53,401.08,400.53,401.0,7661848
2021-04-01 16:00:00,399.9301,400.67,399.42,400.54,17307633
2021-04-01 15:00:00,399.65,400.0,399.6,399.935,19033700
2021-04-01 14:00:00,399.72,399.86,399.329,399.65,8902233
2021-04-01 13:00:00,399.175,399.86,399.14,399.725,9312924
2021-04-01 12:00:00,399.3,399.64,399.02,399.1814,8264966
2021-04-01 11:00:00,398.41,399.32,398.24,399.3081,12903562
2021-04-01 10:00:00,398.13,398.77,396.33,398.41,11940059
2021-04-01 09:00:00,397.5804,398.2,396.33,398.11,254578
2021-04-01 08:00:00,397.24,397.95,397.24,397.89,142370
2021-04-01 07:00:00,397.62,397.62,397.29,397.31,73374
2021-04-01 06:00:00,397.92,398.0,397.6,397.71,26715
2021-04-01 05:00:00,397.73,397.93,396.84,397.92,32720
2021-03-31 20:00:00,396.43,396.66,396.2,396.64,50930
2021-03-31 19:00:00,396.24,396.55,396.24,396.42,69450
2021-03-31 18:00:00,396.3,396.3,396.06,396.2,292780
2021-03-31 17:00:00,396.25,397.5002,395.8795,396.22,21191214
2021-03-31 16:00:00,397.24,397.77,396.02,396.25,40812708
2021-03-31 15:00:00,397.71,397.7419,397.09,397.2501,10204865
2021-03-31 14:00:00,397.615,398.0,397.5,397.71,6904443
2021-03-31 13:00:00,397.13,397.66,397.125,397.61,6103179
2021-03-31 12:00:00,396.81,397.26,396.5,397.13,8380853
2021-03-31 11:00:00,396.13,396.98,395.97,396.82,9907346
2021-03-31 10:00:00,395.11,396.38,395.02,396.15,6947364
2021-03-31 09:00:00,394.5096,395.33,393.96,395.09,231980
2021-03-31 08:00:00,394.73,395.05,394.49,394.95,98469
2021-03-31 07:00:00,394.4,394.83,394.35,394.75,38072
2021-03-31 06:00:00,394.27,394.5,394.18,394.35,9834
2021-03-31 05:00:00,394.22,394.4,393.93,394.4,10314
2021-03-30 20:00:00,394.08,394.8,393.95,394.63,66088
2021-03-30 19:00:00,394.45,394.49,393.89,394.12,131202
2021-03-30 18:00:00,394.52,394.53,394.35,394.45,101960
2021-03-30 17:00:00,394.79,394.86,394.37,394.5,8790735
2021-03-30 16:00:00,395.12,395.45,393.42,394.78,21885020
2021-03-30 15:00:00,394.0,395.2,393.69,395.1214,6879656
2021-03-30 14:00:00,393.97,394.35,393.4,394.0,4438260
2021-03-30 13:00:00,394.03,394.3,393.48,393.96,5651020
2021-03-30 12:00:00,394.265,394.94,393.94,394.04,7352797
2021-03-30 11:00:00,394.09,394.84,393.02,394.27,11975600
2021-03-30 10:00:00,394.2,394.73,393.43,394.09,7806339
2021-03-30 09:00:00,394.7201,396.769,393.93,394.23,324577
2021-03-30 08:00:00,395.04,395.04,393.98,394.15,213908
2021-03-30 07:00:00,395.58,395.78,394.91,395.03,143570
2021-03-30 06:00:00,395.26,395.6,395.18,395.59,18872
2021-03-30 05:00:00,395.5,395.62,395.1,395.31,11096
