date,1. open,2. high,3. low,4. close,5. volume
2021-03-31 13:10:00,193.31,193.5,192.7405,192.9612,13113.0
2021-03-31 13:09:00,193.775,193.85,193.25,193.4051,8212.0
2021-03-31 13:08:00,193.8,194.0,193.56,193.56,8833.0
2021-03-31 13:07:00,194.0,194.0,193.5463,193.5463,5777.0
2021-03-31 13:06:00,193.311,194.0,193.311,193.9999,7564.0
2021-03-31 13:05:00,193.4744,193.65,193.25,193.5042,7658.0
2021-03-31 13:04:00,193.58,193.69,193.0,193.64,13082.0
2021-03-31 13:03:00,192.3403,194.1999,192.3403,193.838,45198.0
2021-03-31 13:02:00,192.5,192.5437,192.2501,192.274,3479.0
2021-03-31 13:01:00,192.15,192.372,192.072,192.2001,4521.0
2021-03-31 13:00:00,192.1647,192.34,192.0601,192.23,4870.0
2021-03-31 12:59:00,191.8045,191.9789,191.5,191.85,16254.0
2021-03-31 12:58:00,192.2,192.3864,191.7723,191.7723,23394.0
2021-03-31 12:57:00,192.58,192.58,192.3,192.3,3206.0
2021-03-31 12:56:00,192.7905,192.7905,192.57,192.6042,2702.0
2021-03-31 12:55:00,192.76,192.76,192.4,192.4,1930.0
2021-03-31 12:54:00,192.3406,192.75,192.2154,192.744,8233.0
2021-03-31 12:53:00,192.3021,192.3021,192.2259,192.3,4129.0
2021-03-31 12:52:00,192.28,192.4199,192.1974,192.3,2107.0
2021-03-31 12:51:00,192.47,192.5999,192.38,192.38,2573.0
2021-03-31 12:50:00,192.58,192.7999,192.06,192.43,7386.0
2021-03-31 12:49:00,192.87,192.9752,192.57,192.57,6986.0
2021-03-31 12:48:00,193.0813,193.0813,192.8328,193.0,4531.0
2021-03-31 12:47:00,192.899,193.19,192.896,193.0788,6029.0
2021-03-31 12:46:00,192.9,192.9899,192.61,192.91,3279.0
2021-03-31 12:45:00,192.7586,193.0,192.6001,192.82,4500.0
2021-03-31 12:44:00,193.1,193.2,192.5,192.86,10935.0
2021-03-31 12:43:00,193.0,193.2,192.8619,193.0,9034.0
2021-03-31 12:42:00,192.8399,192.87,192.52,192.87,2215.0
2021-03-31 12:41:00,192.8,193.01,192.6701,192.72,7598.0
2021-03-31 12:40:00,192.66,192.73,192.5315,192.65,2854.0
2021-03-31 12:39:00,192.255,192.665,192.15,192.665,4829.0
2021-03-31 12:38:00,192.1,192.5795,192.0,192.3,8909.0
2021-03-31 12:37:00,192.49,192.55,191.88,191.9,9287.0
2021-03-31 12:36:00,193.0,193.0,192.42,192.46,6428.0
